temperature,Gas1RS/Rmax,Gas2RS/Rmax,Gas3RS/Rmax,Vc
29,99,96,96,5.06
43,100,96,96,5.06
32,99,96,96,5.06
33,100,96,96,5.06
40,99,96,96,5.06
32,99,93,96,5.06
55,99,96,96,5.06
32,100,96,96,5.06
29,99,96,96,5.06
50,99,96,96,5.06
42,100,96,96,5.06
34,100,96,96,5.06
31,100,96,96,5.06
41,100,96,96,5.06
54,100,96,96,5.06
30,100,96,96,5.06
29,99,93,96,5.06
33,100,96,96,5.06
33,100,96,98,5.06
29,100,96,96,5.06
29,100,96,96,5.06
29,100,96,96,5.06
30,99,93,91,5.06
32,100,96,96,5.06
29,100,96,96,5.06
34,100,96,96,5.06
33,100,96,96,5.06
55,99,93,96,5.06
45,100,96,98,5.06
30,100,96,98,5.06
34,100,96,96,5.06
53,100,96,96,5.06
44,100,96,96,5.06
32,100,96,96,5.06
53,98,96,94,5.06
33,100,96,96,5.06
29,100,96,96,5.06
52,100,93,94,5.06
29,100,96,96,5.06
33,100,96,96,5.06
29,100,96,96,5.06
53,100,96,96,5.06
45,100,96,96,5.06
33,100,96,96,5.06
57,100,93,94,5.06
37,100,96,96,5.06
46,100,96,96,5.06
29,100,96,96,5.06
31,100,96,96,5.06
30,100,93,96,5.06
43,100,96,96,5.06
41,100,96,96,5.06
34,100,96,96,5.06
43,100,96,96,5.06
46,100,96,96,5.06
30,100,96,96,5.06
29,100,96,96,5.06
34,100,96,96,5.06
30,100,96,96,5.06
42,100,96,96,5.06
49,99,96,96,5.06
49,99,96,96,5.06
29,100,96,96,5.06
44,99,93,96,5.06
32,100,96,96,5.06
31,100,96,98,5.06
37,100,96,96,5.06
33,100,96,96,5.06
54,99,93,94,5.06
29,100,96,96,5.06
29,100,96,96,5.06
35,100,93,94,5.06
54,100,96,96,5.06
29,100,96,96,5.06
42,99,93,94,5.06
31,100,96,96,5.06
29,100,96,96,5.06
33,100,96,96,5.06
31,100,96,96,5.06
31,100,96,96,5.06
29,100,96,96,5.06
41,100,93,96,5.06
32,100,96,96,5.06
29,100,96,96,5.06
53,100,93,94,5.06
30,100,96,96,5.06
32,100,96,96,5.06
31,100,93,94,5.06
55,100,96,96,5.06
34,100,96,96,5.06
33,100,96,96,5.06
50,100,96,96,5.06
30,100,93,96,5.06
31,100,96,96,5.06
29,100,96,96,5.06
29,100,96,96,5.06
29,100,93,96,5.06
32,100,96,96,5.06
29,100,93,94,5.06
47,100,96,96,5.06
30,100,96,96,5.06
30,100,96,96,5.06
50,100,96,96,5.06
35,100,93,96,5.06
37,100,96,96,5.06
31,100,93,94,5.06
29,100,96,96,5.06
35,100,96,96,5.06
29,100,96,96,5.06
30,99,93,94,5.06
29,100,96,96,5.06
33,99,93,94,5.06
29,100,96,96,5.06
31,100,96,96,5.06
29,100,96,96,5.06
36,100,96,96,5.06
32,99,93,96,5.06
32,100,96,96,5.06
50,99,96,96,5.06
54,100,96,96,5.06
51,99,96,96,5.06
37,100,96,96,5.06
30,99,93,96,5.06
33,99,93,94,5.06
32,99,96,96,5.06
54,99,96,96,5.06
29,99,96,96,5.06
31,99,96,94,5.06
31,99,96,96,5.06
47,99,96,96,5.06
47,99,96,96,5.06
35,99,96,96,5.06
39,99,96,96,5.06
39,99,96,96,5.06
45,99,96,96,5.06
36,99,96,96,5.06
44,99,96,96,5.06
29,99,96,96,5.06
34,99,96,96,5.06
35,99,86,96,5.06
31,100,96,96,5.06
32,99,96,96,5.06
31,99,93,96,5.06
29,100,96,96,5.06
33,100,96,96,5.06
30,99,93,96,5.06
30,100,96,96,5.06
52,99,93,94,5.06
33,100,96,96,5.06
38,99,93,94,5.06
51,100,96,96,5.06
34,100,86,96,5.06
31,100,93,96,5.06
49,100,96,96,5.06
45,100,96,96,5.06
30,100,86,98,5.06
32,100,96,96,5.06
32,100,96,96,5.06
29,100,93,94,5.06
51,100,96,96,5.06
29,100,96,96,5.06
35,99,96,96,5.06
30,100,96,96,5.06
32,100,96,96,5.06
36,100,96,96,5.06
38,99,93,96,5.06
35,100,96,96,5.06
35,100,96,96,5.06
32,100,96,96,5.06
47,100,96,96,5.06
30,100,96,96,5.06
33,100,96,96,5.06
50,100,93,94,5.06
33,100,96,96,5.06
30,99,93,94,5.06
30,100,96,96,5.06
32,97,96,94,5.06
53,99,93,94,5.06
46,100,96,96,5.06
33,99,93,94,5.06
30,100,96,96,5.06
40,100,93,94,5.06
34,100,96,96,5.06
29,100,96,96,5.06
32,97,96,96,5.06
51,100,96,96,5.06
35,100,96,96,5.06
46,100,96,96,5.06
33,100,93,94,5.06
54,100,96,96,5.06
29,100,96,96,5.06
30,100,96,96,5.06
53,99,93,94,5.06
30,100,96,96,5.06
33,100,96,96,5.06
48,99,93,89,5.06
30,100,96,96,5.06
49,100,96,96,5.06
45,97,91,96,5.06
46,99,96,96,5.06
29,100,96,96,5.06
31,99,96,96,5.06
38,100,96,94,5.06
30,99,96,96,5.06
37,99,93,94,5.06
34,99,96,96,5.06
43,99,93,94,5.06
45,99,96,96,5.06
45,99,96,96,5.06
30,99,96,96,5.06
29,99,96,96,5.06
32,99,96,96,5.06
51,99,96,96,5.06
42,99,96,96,5.06
32,99,93,94,5.06
35,99,93,89,5.06
30,99,96,96,5.06
30,99,93,94,5.06
52,99,93,94,5.06
29,99,93,94,5.06
33,99,93,94,5.06
29,100,96,96,5.06
29,100,96,96,5.06
31,100,93,94,5.06
31,100,96,96,5.06
31,100,96,96,5.06
30,100,96,96,5.06
41,97,93,96,5.06
43,100,96,96,5.06
29,99,93,96,5.06
29,100,96,96,5.06
31,100,96,96,5.06
29,99,93,96,5.06
30,100,96,96,5.06
31,100,93,94,5.06
48,100,96,96,5.06
50,99,93,94,5.06
40,100,96,96,5.06
31,100,96,96,5.06
34,100,93,94,5.06
30,100,96,96,5.06
51,100,93,94,5.06
46,100,96,96,5.06
29,100,96,96,5.06
30,99,93,94,5.06
52,100,96,96,5.06
33,100,96,96,5.06
32,100,96,96,5.06
38,100,96,96,5.06
29,100,96,96,5.06
35,100,93,94,5.06
33,100,96,96,5.06
31,100,96,96,5.06
30,100,93,94,5.06
33,100,96,96,5.06
52,100,96,96,5.06
50,97,100,96,5.06
30,100,96,96,5.06
44,98,96,96,5.06
33,100,96,96,5.06
32,100,96,96,5.06
31,100,93,94,5.06
30,100,96,96,5.06
55,100,93,96,5.06
29,100,96,96,5.06
30,100,96,96,5.06
32,100,93,94,5.06
30,100,96,96,5.06
29,100,96,96,5.06
29,100,93,94,5.06
30,100,96,96,5.06
48,100,96,96,5.06
29,99,93,96,5.06
45,99,93,94,5.06
30,100,96,96,5.06
30,100,96,96,5.06
34,99,96,96,5.06
33,99,86,96,5.06
